dag25.txt 3_2x4.txt 0.3971631205673759 0.5 518826.6666666667 [7, 6, 5, 3, 7, 6, 6, 5, 3, 4, 4, 7, 4, 4, 0, 4, 7, 1, 3, 4, 7, 6, 6, 5, 0, 5, 4, 6, 7, 4, 1, 3, 3, 3, 2, 3, 3, 0, 0, 3, 3, 2, 2, 2, 2, 0, 0, 2, 2, 0, 1, 1, 1, 5, 1, 0, 2, 4, 5, 3, 5, 5, 5, 5, 5, 2, 0, 3, 5, 7, 5, 5, 5, 5, 5, 7, 5, 0, 5, 6, 5, 6, 5, 1, 6, 0, 6, 6, 6, 7, 6, 6, 6] 
dag25.txt 3_2x4.txt 0.3971631205673759 0.55 518826.6666666667 [7, 6, 5, 3, 7, 6, 6, 5, 3, 4, 4, 7, 4, 4, 0, 4, 7, 1, 3, 4, 7, 6, 6, 5, 0, 5, 4, 6, 7, 4, 1, 3, 3, 3, 2, 3, 3, 0, 0, 3, 3, 2, 2, 2, 2, 0, 0, 2, 2, 0, 1, 1, 1, 5, 1, 0, 2, 4, 5, 3, 5, 5, 5, 5, 5, 2, 0, 3, 5, 7, 5, 5, 5, 5, 5, 7, 5, 0, 5, 6, 5, 6, 5, 1, 6, 0, 6, 6, 6, 7, 6, 6, 6] 
dag25.txt 3_2x4.txt 0.4326241134751773 0.6 524288.0 [2, 4, 5, 7, 2, 1, 1, 5, 7, 3, 6, 0, 7, 7, 5, 0, 6, 0, 7, 7, 2, 1, 1, 5, 6, 5, 3, 0, 6, 7, 6, 7, 7, 7, 4, 5, 2, 5, 5, 2, 2, 2, 2, 5, 2, 5, 2, 4, 4, 5, 6, 6, 6, 2, 6, 5, 2, 3, 4, 7, 3, 2, 3, 2, 4, 5, 5, 4, 4, 3, 4, 3, 3, 1, 4, 0, 3, 5, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1] 
dag25.txt 3_2x4.txt 0.4326241134751773 0.65 524288.0 [2, 4, 5, 7, 2, 1, 1, 5, 7, 3, 6, 0, 7, 7, 5, 0, 6, 0, 7, 7, 2, 1, 1, 5, 6, 5, 3, 0, 6, 7, 6, 7, 7, 7, 4, 5, 2, 5, 5, 2, 2, 2, 2, 5, 2, 5, 2, 4, 4, 5, 6, 6, 6, 2, 6, 5, 2, 3, 4, 7, 3, 2, 3, 2, 4, 5, 5, 4, 4, 3, 4, 3, 3, 1, 4, 0, 3, 5, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1] 
dag25.txt 3_2x4.txt 0.4326241134751773 0.7 524288.0 [2, 4, 5, 7, 2, 1, 1, 5, 7, 3, 6, 0, 7, 7, 5, 0, 6, 0, 7, 7, 2, 1, 1, 5, 6, 5, 3, 0, 6, 7, 6, 7, 7, 7, 4, 5, 2, 5, 5, 2, 2, 2, 2, 5, 2, 5, 2, 4, 4, 5, 6, 6, 6, 2, 6, 5, 2, 3, 4, 7, 3, 2, 3, 2, 4, 5, 5, 4, 4, 3, 4, 3, 3, 1, 4, 0, 3, 5, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1] 
dag25.txt 3_2x4.txt 0.4326241134751773 0.8 524288.0 [2, 4, 5, 7, 2, 1, 1, 5, 7, 3, 6, 0, 7, 7, 5, 0, 6, 0, 7, 7, 2, 1, 1, 5, 6, 5, 3, 0, 6, 7, 6, 7, 7, 7, 4, 5, 2, 5, 5, 2, 2, 2, 2, 5, 2, 5, 2, 4, 4, 5, 6, 6, 6, 2, 6, 5, 2, 3, 4, 7, 3, 2, 3, 2, 4, 5, 5, 4, 4, 3, 4, 3, 3, 1, 4, 0, 3, 5, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1] 
dag25.txt 3_2x4.txt 0.4326241134751773 0.9 524288.0 [2, 4, 5, 7, 2, 1, 1, 5, 7, 3, 6, 0, 7, 7, 5, 0, 6, 0, 7, 7, 2, 1, 1, 5, 6, 5, 3, 0, 6, 7, 6, 7, 7, 7, 4, 5, 2, 5, 5, 2, 2, 2, 2, 5, 2, 5, 2, 4, 4, 5, 6, 6, 6, 2, 6, 5, 2, 3, 4, 7, 3, 2, 3, 2, 4, 5, 5, 4, 4, 3, 4, 3, 3, 1, 4, 0, 3, 5, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1] 
dag25.txt 3_2x4.txt 0.4326241134751773 1 524288.0 [2, 4, 5, 7, 2, 1, 1, 5, 7, 3, 6, 0, 7, 7, 5, 0, 6, 0, 7, 7, 2, 1, 1, 5, 6, 5, 3, 0, 6, 7, 6, 7, 7, 7, 4, 5, 2, 5, 5, 2, 2, 2, 2, 5, 2, 5, 2, 4, 4, 5, 6, 6, 6, 2, 6, 5, 2, 3, 4, 7, 3, 2, 3, 2, 4, 5, 5, 4, 4, 3, 4, 3, 3, 1, 4, 0, 3, 5, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1] 
dag25.txt 5_4_3_2x2.txt 0.0851063829787234 0.1 1674444.8 [0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 1, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag25.txt 5_4_3_2x2.txt 0.14893617021276595 0.15 956825.6 [0, 1, 4, 0, 0, 4, 4, 4, 0, 0, 4, 4, 0, 0, 4, 0, 4, 0, 0, 0, 0, 4, 4, 4, 0, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 4, 1, 0, 1, 4, 0, 4, 4, 0, 0, 0, 0, 4, 0, 4, 0, 0, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
dag25.txt 4_1x5.txt 0.475177304964539 0.5 450560.0 [2, 8, 8, 4, 2, 8, 1, 8, 4, 6, 8, 2, 4, 5, 3, 4, 2, 6, 4, 5, 2, 8, 8, 8, 6, 3, 8, 2, 2, 5, 6, 9, 9, 4, 4, 4, 4, 0, 3, 4, 4, 6, 7, 3, 7, 3, 0, 4, 2, 3, 8, 6, 3, 8, 6, 3, 8, 6, 7, 5, 6, 8, 6, 0, 6, 3, 0, 9, 0, 0, 9, 0, 0, 8, 9, 2, 0, 0, 0, 1, 0, 6, 0, 0, 1, 2, 0, 1, 1, 0, 3, 0, 0] 
dag25.txt 5_4_3_2x2.txt 0.19858156028368795 0.2 815923.2 [2, 4, 4, 4, 2, 4, 4, 4, 4, 0, 4, 0, 5, 5, 0, 0, 0, 0, 4, 5, 2, 4, 4, 4, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 2, 4, 4, 4, 0, 0, 4, 4, 0, 1, 4, 1, 4, 1, 0, 0, 0, 1, 5, 5, 4, 1, 4, 1, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0] 
dag25.txt 5_4_3_2x5.txt 0.49645390070921985 0.5 196608.0 [19, 1, 10, 12, 3, 10, 15, 10, 17, 8, 4, 18, 1, 6, 12, 8, 0, 7, 17, 6, 19, 10, 10, 10, 4, 14, 5, 19, 0, 6, 7, 6, 6, 17, 4, 17, 17, 12, 12, 17, 17, 0, 3, 12, 3, 12, 12, 9, 9, 12, 5, 7, 11, 10, 8, 14, 13, 8, 13, 6, 11, 10, 11, 11, 11, 12, 16, 4, 11, 2, 2, 2, 2, 10, 2, 0, 2, 16, 2, 15, 16, 12, 0, 18, 15, 14, 18, 14, 14, 18, 14, 18, 18] 
dag25.txt 5_4_3_2x2.txt 0.24113475177304963 0.25 596377.6 [6, 4, 0, 4, 6, 2, 7, 0, 4, 0, 1, 5, 1, 1, 4, 0, 6, 0, 4, 1, 6, 2, 0, 0, 0, 4, 0, 5, 6, 1, 6, 1, 1, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 2, 2, 2, 0, 2, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 4, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 7, 0, 7, 5, 0, 7, 4, 5, 5, 5, 5, 5, 5, 5] 
dag25.txt 4_1x5.txt 0.475177304964539 0.55 450560.0 [2, 8, 8, 4, 2, 8, 1, 8, 4, 6, 8, 2, 4, 5, 3, 4, 2, 6, 4, 5, 2, 8, 8, 8, 6, 3, 8, 2, 2, 5, 6, 9, 9, 4, 4, 4, 4, 0, 3, 4, 4, 6, 7, 3, 7, 3, 0, 4, 2, 3, 8, 6, 3, 8, 6, 3, 8, 6, 7, 5, 6, 8, 6, 0, 6, 3, 0, 9, 0, 0, 9, 0, 0, 8, 9, 2, 0, 0, 0, 1, 0, 6, 0, 0, 1, 2, 0, 1, 1, 0, 3, 0, 0] 
dag25.txt 5_4_3_2x5.txt 0.5035460992907801 0.55 173670.4 [19, 1, 10, 12, 3, 10, 15, 10, 17, 8, 4, 18, 1, 6, 12, 8, 0, 7, 17, 6, 19, 10, 10, 10, 4, 14, 5, 16, 0, 6, 7, 6, 6, 17, 4, 17, 17, 12, 12, 17, 17, 0, 3, 12, 3, 12, 12, 9, 9, 12, 5, 7, 11, 10, 8, 14, 13, 8, 13, 6, 11, 10, 11, 11, 11, 12, 16, 4, 11, 2, 2, 2, 2, 10, 2, 0, 2, 16, 2, 15, 16, 12, 0, 18, 15, 14, 18, 14, 14, 18, 14, 18, 18] 
dag25.txt 5_4_3_2x2.txt 0.2978723404255319 0.3 606208.0 [0, 5, 2, 0, 0, 7, 3, 2, 5, 4, 4, 6, 4, 5, 1, 2, 6, 4, 5, 5, 0, 7, 7, 2, 4, 1, 7, 6, 6, 5, 4, 5, 5, 5, 4, 5, 5, 1, 1, 5, 5, 1, 1, 1, 1, 1, 1, 0, 0, 1, 7, 7, 7, 2, 7, 1, 0, 2, 0, 5, 2, 2, 2, 2, 2, 1, 1, 4, 2, 2, 2, 2, 2, 2, 2, 6, 2, 3, 2, 3, 3, 3, 6, 3, 3, 1, 6, 6, 6, 6, 6, 6, 6] 
dag25.txt 5_4_3_2x5.txt 0.5035460992907801 0.6 173670.4 [19, 1, 10, 12, 3, 10, 15, 10, 17, 8, 4, 18, 1, 6, 12, 8, 0, 7, 17, 6, 19, 10, 10, 10, 4, 14, 5, 16, 0, 6, 7, 6, 6, 17, 4, 17, 17, 12, 12, 17, 17, 0, 3, 12, 3, 12, 12, 9, 9, 12, 5, 7, 11, 10, 8, 14, 13, 8, 13, 6, 11, 10, 11, 11, 11, 12, 16, 4, 11, 2, 2, 2, 2, 10, 2, 0, 2, 16, 2, 15, 16, 12, 0, 18, 15, 14, 18, 14, 14, 18, 14, 18, 18] 
dag25.txt 4_1x5.txt 0.475177304964539 0.6 450560.0 [2, 8, 8, 4, 2, 8, 1, 8, 4, 6, 8, 2, 4, 5, 3, 4, 2, 6, 4, 5, 2, 8, 8, 8, 6, 3, 8, 2, 2, 5, 6, 9, 9, 4, 4, 4, 4, 0, 3, 4, 4, 6, 7, 3, 7, 3, 0, 4, 2, 3, 8, 6, 3, 8, 6, 3, 8, 6, 7, 5, 6, 8, 6, 0, 6, 3, 0, 9, 0, 0, 9, 0, 0, 8, 9, 2, 0, 0, 0, 1, 0, 6, 0, 0, 1, 2, 0, 1, 1, 0, 3, 0, 0] 
dag25.txt 5_4_3_2x2.txt 0.3475177304964539 0.35 622592.0 [6, 0, 6, 5, 6, 4, 0, 4, 1, 3, 1, 6, 7, 7, 6, 7, 3, 3, 5, 7, 6, 0, 0, 6, 3, 6, 7, 6, 4, 7, 4, 1, 1, 5, 1, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 2, 2, 5, 5, 2, 0, 4, 0, 4, 4, 2, 3, 7, 3, 1, 7, 4, 7, 4, 4, 5, 2, 1, 4, 4, 4, 4, 4, 0, 4, 6, 4, 2, 6, 0, 6, 0, 6, 3, 0, 2, 6, 6, 6, 6, 6, 6, 6] 
dag25.txt 5_4_3_2x5.txt 0.5035460992907801 0.65 173670.4 [19, 1, 10, 12, 3, 10, 15, 10, 17, 8, 4, 18, 1, 6, 12, 8, 0, 7, 17, 6, 19, 10, 10, 10, 4, 14, 5, 16, 0, 6, 7, 6, 6, 17, 4, 17, 17, 12, 12, 17, 17, 0, 3, 12, 3, 12, 12, 9, 9, 12, 5, 7, 11, 10, 8, 14, 13, 8, 13, 6, 11, 10, 11, 11, 11, 12, 16, 4, 11, 2, 2, 2, 2, 10, 2, 0, 2, 16, 2, 15, 16, 12, 0, 18, 15, 14, 18, 14, 14, 18, 14, 18, 18] 
dag25.txt 5_4_3_2x2.txt 0.3971631205673759 0.4 491520.0 [4, 2, 3, 7, 4, 2, 2, 3, 7, 6, 1, 0, 7, 7, 3, 6, 5, 0, 7, 7, 4, 2, 2, 3, 5, 3, 6, 0, 5, 7, 5, 7, 7, 7, 1, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 0, 1, 1, 3, 5, 5, 5, 4, 5, 3, 4, 6, 1, 7, 6, 4, 6, 4, 1, 3, 3, 1, 1, 6, 1, 6, 6, 2, 1, 0, 6, 3, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2] 
dag25.txt 5_4_3_2x5.txt 0.5035460992907801 0.7 173670.4 [19, 1, 10, 12, 3, 10, 15, 10, 17, 8, 4, 18, 1, 6, 12, 8, 0, 7, 17, 6, 19, 10, 10, 10, 4, 14, 5, 16, 0, 6, 7, 6, 6, 17, 4, 17, 17, 12, 12, 17, 17, 0, 3, 12, 3, 12, 12, 9, 9, 12, 5, 7, 11, 10, 8, 14, 13, 8, 13, 6, 11, 10, 11, 11, 11, 12, 16, 4, 11, 2, 2, 2, 2, 10, 2, 0, 2, 16, 2, 15, 16, 12, 0, 18, 15, 14, 18, 14, 14, 18, 14, 18, 18] 
dag25.txt 4_1x5.txt 0.475177304964539 0.65 450560.0 [2, 8, 8, 4, 2, 8, 1, 8, 4, 6, 8, 2, 4, 5, 3, 4, 2, 6, 4, 5, 2, 8, 8, 8, 6, 3, 8, 2, 2, 5, 6, 9, 9, 4, 4, 4, 4, 0, 3, 4, 4, 6, 7, 3, 7, 3, 0, 4, 2, 3, 8, 6, 3, 8, 6, 3, 8, 6, 7, 5, 6, 8, 6, 0, 6, 3, 0, 9, 0, 0, 9, 0, 0, 8, 9, 2, 0, 0, 0, 1, 0, 6, 0, 0, 1, 2, 0, 1, 1, 0, 3, 0, 0] 
dag25.txt 5_4_3_2x2.txt 0.4397163120567376 0.45 415061.3333333333 [4, 1, 3, 7, 4, 2, 2, 3, 7, 6, 4, 0, 4, 7, 3, 6, 5, 0, 7, 7, 4, 2, 2, 3, 5, 3, 6, 0, 5, 7, 5, 7, 7, 7, 1, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 0, 1, 1, 3, 5, 5, 5, 4, 5, 3, 4, 6, 1, 7, 6, 4, 6, 4, 1, 3, 0, 1, 1, 6, 1, 6, 6, 2, 1, 0, 6, 3, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2] 
dag25.txt 5_4_3_2x3.txt 0.425531914893617 0.5 278528.0 [9, 6, 10, 4, 11, 10, 2, 10, 6, 5, 8, 3, 4, 0, 4, 5, 9, 3, 6, 0, 9, 10, 2, 10, 5, 10, 0, 9, 9, 0, 9, 7, 7, 6, 7, 6, 6, 4, 4, 6, 6, 0, 11, 4, 11, 4, 4, 4, 11, 4, 10, 1, 10, 10, 1, 4, 1, 5, 1, 0, 1, 10, 1, 10, 1, 4, 8, 7, 7, 9, 7, 10, 6, 6, 8, 0, 6, 8, 6, 2, 8, 8, 3, 3, 2, 2, 3, 2, 2, 3, 2, 3, 2] 
dag25.txt 5_4_3_2x2.txt 0.40425531914893614 0.5 380928.0 [7, 5, 3, 6, 7, 5, 5, 3, 6, 1, 1, 7, 1, 1, 0, 1, 7, 2, 6, 1, 7, 5, 5, 3, 5, 3, 1, 4, 4, 1, 2, 6, 6, 6, 4, 6, 6, 0, 0, 6, 6, 4, 4, 4, 4, 0, 0, 4, 4, 0, 2, 2, 2, 3, 2, 0, 0, 1, 0, 6, 3, 3, 3, 3, 3, 4, 0, 6, 3, 7, 3, 3, 3, 3, 3, 7, 3, 0, 3, 5, 3, 5, 3, 2, 5, 0, 5, 5, 5, 7, 5, 5, 5] 
dag25.txt 5_4_3_2x5.txt 0.5035460992907801 0.8 173670.4 [19, 1, 10, 12, 3, 10, 15, 10, 17, 8, 4, 18, 1, 6, 12, 8, 0, 7, 17, 6, 19, 10, 10, 10, 4, 14, 5, 16, 0, 6, 7, 6, 6, 17, 4, 17, 17, 12, 12, 17, 17, 0, 3, 12, 3, 12, 12, 9, 9, 12, 5, 7, 11, 10, 8, 14, 13, 8, 13, 6, 11, 10, 11, 11, 11, 12, 16, 4, 11, 2, 2, 2, 2, 10, 2, 0, 2, 16, 2, 15, 16, 12, 0, 18, 15, 14, 18, 14, 14, 18, 14, 18, 18] 
dag25.txt 5_4_3_2x3.txt 0.425531914893617 0.55 278528.0 [9, 6, 10, 4, 11, 10, 2, 10, 6, 5, 8, 3, 4, 0, 4, 5, 9, 3, 6, 0, 9, 10, 2, 10, 5, 10, 0, 9, 9, 0, 9, 7, 7, 6, 7, 6, 6, 4, 4, 6, 6, 0, 11, 4, 11, 4, 4, 4, 11, 4, 10, 1, 10, 10, 1, 4, 1, 5, 1, 0, 1, 10, 1, 10, 1, 4, 8, 7, 7, 9, 7, 10, 6, 6, 8, 0, 6, 8, 6, 2, 8, 8, 3, 3, 2, 2, 3, 2, 2, 3, 2, 3, 2] 
dag25.txt 5_4_3_2x2.txt 0.40425531914893614 0.55 380928.0 [7, 5, 3, 6, 7, 5, 5, 3, 6, 1, 1, 7, 1, 1, 0, 1, 7, 2, 6, 1, 7, 5, 5, 3, 5, 3, 1, 4, 4, 1, 2, 6, 6, 6, 4, 6, 6, 0, 0, 6, 6, 4, 4, 4, 4, 0, 0, 4, 4, 0, 2, 2, 2, 3, 2, 0, 0, 1, 0, 6, 3, 3, 3, 3, 3, 4, 0, 6, 3, 7, 3, 3, 3, 3, 3, 7, 3, 0, 3, 5, 3, 5, 3, 2, 5, 0, 5, 5, 5, 7, 5, 5, 5] 
dag25.txt 4_1x5.txt 0.475177304964539 0.7 450560.0 [2, 8, 8, 4, 2, 8, 1, 8, 4, 6, 8, 2, 4, 5, 3, 4, 2, 6, 4, 5, 2, 8, 8, 8, 6, 3, 8, 2, 2, 5, 6, 9, 9, 4, 4, 4, 4, 0, 3, 4, 4, 6, 7, 3, 7, 3, 0, 4, 2, 3, 8, 6, 3, 8, 6, 3, 8, 6, 7, 5, 6, 8, 6, 0, 6, 3, 0, 9, 0, 0, 9, 0, 0, 8, 9, 2, 0, 0, 0, 1, 0, 6, 0, 0, 1, 2, 0, 1, 1, 0, 3, 0, 0] 
dag25.txt 4_1x2.txt 0.3546099290780142 0.5 1024000.0 [0, 2, 2, 2, 2, 1, 1, 1, 3, 1, 2, 0, 2, 3, 2, 2, 0, 1, 3, 3, 0, 1, 0, 2, 0, 2, 0, 0, 0, 3, 1, 3, 3, 3, 2, 3, 3, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 0, 2, 0, 0, 0, 3, 1, 1, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 1, 1, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0] 
dag25.txt 5_4_3_2x5.txt 0.5035460992907801 0.9 173670.4 [19, 1, 10, 12, 3, 10, 15, 10, 17, 8, 4, 18, 1, 6, 12, 8, 0, 7, 17, 6, 19, 10, 10, 10, 4, 14, 5, 16, 0, 6, 7, 6, 6, 17, 4, 17, 17, 12, 12, 17, 17, 0, 3, 12, 3, 12, 12, 9, 9, 12, 5, 7, 11, 10, 8, 14, 13, 8, 13, 6, 11, 10, 11, 11, 11, 12, 16, 4, 11, 2, 2, 2, 2, 10, 2, 0, 2, 16, 2, 15, 16, 12, 0, 18, 15, 14, 18, 14, 14, 18, 14, 18, 18] 
dag25.txt 5_4_3_2x2.txt 0.46099290780141844 0.6 385024.0 [4, 1, 3, 7, 4, 2, 2, 3, 7, 6, 4, 0, 4, 7, 3, 5, 5, 0, 7, 7, 4, 2, 2, 3, 5, 3, 6, 0, 5, 7, 5, 7, 7, 7, 1, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 0, 1, 1, 3, 5, 5, 5, 4, 5, 3, 4, 6, 1, 7, 6, 4, 6, 4, 1, 3, 0, 1, 1, 6, 1, 6, 6, 2, 1, 0, 6, 3, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2] 
dag25.txt 5_4_3_2x3.txt 0.425531914893617 0.6 278528.0 [9, 6, 10, 4, 11, 10, 2, 10, 6, 5, 8, 3, 4, 0, 4, 5, 9, 3, 6, 0, 9, 10, 2, 10, 5, 10, 0, 9, 9, 0, 9, 7, 7, 6, 7, 6, 6, 4, 4, 6, 6, 0, 11, 4, 11, 4, 4, 4, 11, 4, 10, 1, 10, 10, 1, 4, 1, 5, 1, 0, 1, 10, 1, 10, 1, 4, 8, 7, 7, 9, 7, 10, 6, 6, 8, 0, 6, 8, 6, 2, 8, 8, 3, 3, 2, 2, 3, 2, 2, 3, 2, 3, 2] 
dag25.txt 4_1x2.txt 0.3900709219858156 0.55 1024000.0 [1, 2, 2, 1, 1, 2, 2, 2, 1, 3, 2, 2, 2, 3, 2, 2, 0, 3, 1, 3, 1, 2, 0, 2, 0, 2, 0, 0, 0, 3, 3, 1, 1, 1, 0, 1, 0, 2, 1, 1, 1, 0, 1, 1, 1, 2, 2, 0, 2, 2, 2, 3, 2, 2, 0, 2, 2, 2, 3, 3, 3, 2, 3, 2, 3, 1, 0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 2, 2, 2] 
dag25.txt 4_1x5.txt 0.475177304964539 0.8 450560.0 [2, 8, 8, 4, 2, 8, 1, 8, 4, 6, 8, 2, 4, 5, 3, 4, 2, 6, 4, 5, 2, 8, 8, 8, 6, 3, 8, 2, 2, 5, 6, 9, 9, 4, 4, 4, 4, 0, 3, 4, 4, 6, 7, 3, 7, 3, 0, 4, 2, 3, 8, 6, 3, 8, 6, 3, 8, 6, 7, 5, 6, 8, 6, 0, 6, 3, 0, 9, 0, 0, 9, 0, 0, 8, 9, 2, 0, 0, 0, 1, 0, 6, 0, 0, 1, 2, 0, 1, 1, 0, 3, 0, 0] 
dag25.txt 5_4_3_2x2.txt 0.46099290780141844 0.65 385024.0 [4, 1, 3, 7, 4, 2, 2, 3, 7, 6, 4, 0, 4, 7, 3, 5, 5, 0, 7, 7, 4, 2, 2, 3, 5, 3, 6, 0, 5, 7, 5, 7, 7, 7, 1, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 0, 1, 1, 3, 5, 5, 5, 4, 5, 3, 4, 6, 1, 7, 6, 4, 6, 4, 1, 3, 0, 1, 1, 6, 1, 6, 6, 2, 1, 0, 6, 3, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2] 
dag25.txt 5_4_3_2x3.txt 0.425531914893617 0.65 278528.0 [9, 6, 10, 4, 11, 10, 2, 10, 6, 5, 8, 3, 4, 0, 4, 5, 9, 3, 6, 0, 9, 10, 2, 10, 5, 10, 0, 9, 9, 0, 9, 7, 7, 6, 7, 6, 6, 4, 4, 6, 6, 0, 11, 4, 11, 4, 4, 4, 11, 4, 10, 1, 10, 10, 1, 4, 1, 5, 1, 0, 1, 10, 1, 10, 1, 4, 8, 7, 7, 9, 7, 10, 6, 6, 8, 0, 6, 8, 6, 2, 8, 8, 3, 3, 2, 2, 3, 2, 2, 3, 2, 3, 2] 
dag25.txt 5_4_3_2x5.txt 0.5035460992907801 1 173670.4 [19, 1, 10, 12, 3, 10, 15, 10, 17, 8, 4, 18, 1, 6, 12, 8, 0, 7, 17, 6, 19, 10, 10, 10, 4, 14, 5, 16, 0, 6, 7, 6, 6, 17, 4, 17, 17, 12, 12, 17, 17, 0, 3, 12, 3, 12, 12, 9, 9, 12, 5, 7, 11, 10, 8, 14, 13, 8, 13, 6, 11, 10, 11, 11, 11, 12, 16, 4, 11, 2, 2, 2, 2, 10, 2, 0, 2, 16, 2, 15, 16, 12, 0, 18, 15, 14, 18, 14, 14, 18, 14, 18, 18] 
dag25.txt 5_4_3_2x2.txt 0.46099290780141844 0.7 385024.0 [4, 1, 3, 7, 4, 2, 2, 3, 7, 6, 4, 0, 4, 7, 3, 5, 5, 0, 7, 7, 4, 2, 2, 3, 5, 3, 6, 0, 5, 7, 5, 7, 7, 7, 1, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 0, 1, 1, 3, 5, 5, 5, 4, 5, 3, 4, 6, 1, 7, 6, 4, 6, 4, 1, 3, 0, 1, 1, 6, 1, 6, 6, 2, 1, 0, 6, 3, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2] 
dag25.txt 4_1x1.txt 0.09929078014184398 0.1 4472832.0 [1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag25.txt 4_1x2.txt 0.3900709219858156 0.6 1024000.0 [1, 2, 2, 1, 1, 2, 2, 2, 1, 3, 2, 2, 2, 3, 2, 2, 0, 3, 1, 3, 1, 2, 0, 2, 0, 2, 0, 0, 0, 3, 3, 1, 1, 1, 0, 1, 0, 2, 1, 1, 1, 0, 1, 1, 1, 2, 2, 0, 2, 2, 2, 3, 2, 2, 0, 2, 2, 2, 3, 3, 3, 2, 3, 2, 3, 1, 0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 2, 2, 2] 
dag25.txt 4_1x5.txt 0.475177304964539 0.9 450560.0 [2, 8, 8, 4, 2, 8, 1, 8, 4, 6, 8, 2, 4, 5, 3, 4, 2, 6, 4, 5, 2, 8, 8, 8, 6, 3, 8, 2, 2, 5, 6, 9, 9, 4, 4, 4, 4, 0, 3, 4, 4, 6, 7, 3, 7, 3, 0, 4, 2, 3, 8, 6, 3, 8, 6, 3, 8, 6, 7, 5, 6, 8, 6, 0, 6, 3, 0, 9, 0, 0, 9, 0, 0, 8, 9, 2, 0, 0, 0, 1, 0, 6, 0, 0, 1, 2, 0, 1, 1, 0, 3, 0, 0] 
