dag5.txt 5_4_3_2x2.txt True 0.0392156862745098 0.08 2250069.3333333335 [2, 0, 2, 2, 0, 2, 2, 2, 1, 0, 2, 1, 2, 2, 0, 2, 2, 1, 1, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag5.txt 5_4_3_2x2.txt True 0.0392156862745098 0.1 2250069.3333333335 [2, 0, 2, 2, 0, 2, 2, 2, 1, 0, 2, 1, 2, 2, 0, 2, 2, 1, 1, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag5.txt 5_4_3_2x2.txt True 0.0392156862745098 0.1 2250069.3333333335 [2, 0, 2, 2, 0, 2, 2, 2, 1, 0, 2, 1, 2, 2, 0, 2, 2, 1, 1, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag5.txt 5_4_3_2x2.txt True 0.0392156862745098 0.12 2250069.3333333335 [2, 0, 2, 2, 0, 2, 2, 2, 1, 0, 2, 1, 2, 2, 0, 2, 2, 1, 1, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag5.txt 5_4_3_2x2.txt True 0.0392156862745098 0.12 2250069.3333333335 [2, 0, 2, 2, 0, 2, 2, 2, 1, 0, 2, 1, 2, 2, 0, 2, 2, 1, 1, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag5.txt 5_4_3_2x2.txt True 0.13725490196078433 0.14 1589248.0 [2, 0, 2, 2, 0, 1, 2, 2, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 1, 2, 2, 2, 2, 0, 0, 2, 0, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag5.txt 5_4_3_2x2.txt True 0.13725490196078433 0.14 1589248.0 [2, 0, 2, 2, 0, 1, 2, 2, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 1, 2, 2, 2, 2, 0, 0, 2, 0, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag5.txt 5_4_3_2x2.txt True 0.13725490196078433 0.16 1589248.0 [2, 0, 2, 2, 0, 1, 2, 2, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 1, 2, 2, 2, 2, 0, 0, 2, 0, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag5.txt 5_4_3_2x2.txt True 0.13725490196078433 0.16 1589248.0 [2, 0, 2, 2, 0, 1, 2, 2, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 1, 2, 2, 2, 2, 0, 0, 2, 0, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag5.txt 5_4_3_2x2.txt True 0.17647058823529413 0.18 819200.0 [4, 3, 4, 1, 0, 3, 1, 4, 2, 0, 1, 1, 4, 1, 0, 3, 4, 1, 2, 1, 4, 1, 4, 3, 0, 1, 1, 3, 1, 4, 1, 4, 4, 4, 4, 1, 1, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4, 1, 4, 4, 4, 4, 1, 1, 4, 1] 
dag5.txt 5_4_3_2x2.txt True 0.17647058823529413 0.18 819200.0 [4, 3, 4, 1, 0, 3, 1, 4, 2, 0, 1, 1, 4, 1, 0, 3, 4, 1, 2, 1, 4, 1, 4, 3, 0, 1, 1, 3, 1, 4, 1, 4, 4, 4, 4, 1, 1, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4, 1, 4, 4, 4, 4, 1, 1, 4, 1] 
dag5.txt 5_4_3_2x2.txt True 0.17647058823529413 0.2 819200.0 [4, 3, 4, 1, 0, 3, 1, 4, 2, 0, 1, 1, 4, 1, 0, 3, 4, 1, 2, 1, 4, 1, 4, 3, 0, 1, 1, 3, 1, 4, 1, 4, 4, 4, 4, 1, 1, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4, 1, 4, 4, 4, 4, 1, 1, 4, 1] 
dag5.txt 5_4_3_2x2.txt True 0.17647058823529413 0.2 819200.0 [4, 3, 4, 1, 0, 3, 1, 4, 2, 0, 1, 1, 4, 1, 0, 3, 4, 1, 2, 1, 4, 1, 4, 3, 0, 1, 1, 3, 1, 4, 1, 4, 4, 4, 4, 1, 1, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4, 1, 4, 4, 4, 4, 1, 1, 4, 1] 
dag5.txt 5_4_3_2x2.txt True 0.21568627450980393 0.25 1343488.0 [5, 2, 5, 3, 2, 3, 3, 5, 3, 2, 3, 3, 5, 3, 2, 3, 5, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 5, 3, 5, 5, 3, 3, 4, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 3, 4, 3, 0, 0, 0, 1, 1, 5, 5, 0, 0, 5, 0, 5, 5, 5, 5, 4, 0, 5, 0] 
dag5.txt 5_4_3_2x2.txt True 0.21568627450980393 0.25 1343488.0 [5, 2, 5, 3, 2, 3, 3, 5, 3, 2, 3, 3, 5, 3, 2, 3, 5, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 5, 3, 5, 5, 3, 3, 4, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 3, 4, 3, 0, 0, 0, 1, 1, 5, 5, 0, 0, 5, 0, 5, 5, 5, 5, 4, 0, 5, 0] 
dag5.txt 5_4_3_2x2.txt True 0.29411764705882354 0.3 499712.0 [6, 2, 1, 1, 2, 4, 2, 6, 3, 2, 5, 3, 4, 3, 2, 4, 1, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 4, 1, 6, 1, 4, 4, 1, 5, 0, 6, 4, 4, 4, 5, 7, 4, 0, 4, 7, 7, 5, 5, 5, 5, 3, 5, 0, 0, 3, 0, 7, 7, 0, 0, 7, 0, 6, 7, 7, 7, 0, 0, 7, 0] 
dag5.txt 5_4_3_2x2.txt True 0.29411764705882354 0.3 499712.0 [6, 2, 1, 1, 2, 4, 2, 6, 3, 2, 5, 3, 4, 3, 2, 4, 1, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2, 4, 1, 6, 1, 4, 4, 1, 5, 0, 6, 4, 4, 4, 5, 7, 4, 0, 4, 7, 7, 5, 5, 5, 5, 3, 5, 0, 0, 3, 0, 7, 7, 0, 0, 7, 0, 6, 7, 7, 7, 0, 0, 7, 0] 
dag5.txt 5_4_3_2x2.txt True 0.3431372549019608 0.35 565248.0 [6, 0, 1, 2, 1, 0, 2, 6, 3, 1, 0, 3, 7, 3, 1, 0, 1, 3, 3, 2, 2, 2, 1, 0, 0, 2, 1, 0, 1, 6, 1, 7, 7, 2, 6, 4, 6, 7, 7, 7, 6, 4, 7, 4, 7, 5, 5, 7, 4, 0, 6, 3, 6, 2, 2, 3, 3, 4, 5, 4, 3, 5, 4, 6, 5, 5, 5, 4, 4, 5, 5] 
dag5.txt 5_4_3_2x2.txt True 0.3431372549019608 0.35 565248.0 [6, 0, 1, 2, 1, 0, 2, 6, 3, 1, 0, 3, 7, 3, 1, 0, 1, 3, 3, 2, 2, 2, 1, 0, 0, 2, 1, 0, 1, 6, 1, 7, 7, 2, 6, 4, 6, 7, 7, 7, 6, 4, 7, 4, 7, 5, 5, 7, 4, 0, 6, 3, 6, 2, 2, 3, 3, 4, 5, 4, 3, 5, 4, 6, 5, 5, 5, 4, 4, 5, 5] 
dag5.txt 5_4_3_2x2.txt True 0.35294117647058826 0.4 491520.0 [5, 7, 1, 0, 7, 0, 3, 5, 3, 7, 0, 3, 6, 3, 7, 0, 5, 3, 3, 0, 1, 7, 1, 7, 7, 1, 7, 3, 7, 5, 1, 6, 6, 0, 6, 1, 1, 5, 6, 6, 1, 5, 6, 1, 6, 3, 4, 5, 5, 0, 0, 3, 2, 2, 2, 2, 2, 4, 4, 6, 2, 4, 2, 5, 4, 4, 4, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.35294117647058826 0.45 491520.0 [5, 7, 1, 0, 7, 0, 3, 5, 3, 7, 0, 3, 6, 3, 7, 0, 5, 3, 3, 0, 1, 7, 1, 7, 7, 1, 7, 3, 7, 5, 1, 6, 6, 0, 6, 1, 1, 5, 6, 6, 1, 5, 6, 1, 6, 3, 4, 5, 5, 0, 0, 3, 2, 2, 2, 2, 2, 4, 4, 6, 2, 4, 2, 5, 4, 4, 4, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.5 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.35294117647058826 0.4 491520.0 [5, 7, 1, 0, 7, 0, 3, 5, 3, 7, 0, 3, 6, 3, 7, 0, 5, 3, 3, 0, 1, 7, 1, 7, 7, 1, 7, 3, 7, 5, 1, 6, 6, 0, 6, 1, 1, 5, 6, 6, 1, 5, 6, 1, 6, 3, 4, 5, 5, 0, 0, 3, 2, 2, 2, 2, 2, 4, 4, 6, 2, 4, 2, 5, 4, 4, 4, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.55 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.35294117647058826 0.45 491520.0 [5, 7, 1, 0, 7, 0, 3, 5, 3, 7, 0, 3, 6, 3, 7, 0, 5, 3, 3, 0, 1, 7, 1, 7, 7, 1, 7, 3, 7, 5, 1, 6, 6, 0, 6, 1, 1, 5, 6, 6, 1, 5, 6, 1, 6, 3, 4, 5, 5, 0, 0, 3, 2, 2, 2, 2, 2, 4, 4, 6, 2, 4, 2, 5, 4, 4, 4, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.6 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.5 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.65 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.55 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.7 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.6 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.75 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.65 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.8 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.7 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.85 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.75 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.9 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.8 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.95 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.85 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 1 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.9 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 0.95 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 5_4_3_2x2.txt True 0.45098039215686275 1 606208.0 [1, 7, 1, 0, 7, 7, 1, 4, 3, 7, 0, 3, 6, 7, 7, 7, 1, 3, 3, 0, 3, 0, 3, 7, 1, 1, 1, 6, 0, 1, 2, 6, 6, 0, 0, 2, 3, 6, 6, 4, 0, 5, 4, 2, 4, 1, 4, 5, 5, 0, 2, 2, 5, 3, 3, 2, 2, 5, 4, 6, 6, 4, 6, 5, 5, 5, 5, 2, 2, 4, 4] 
dag5.txt 100_1x1.txt True 0.00980392156862745 0.04 7798784.0 [1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag5.txt 100_1x1.txt True 0.00980392156862745 0.04 7798784.0 [1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag5.txt 100_1x1.txt True 0.00980392156862745 0.06 7798784.0 [1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag5.txt 100_1x1.txt True 0.00980392156862745 0.06 7798784.0 [1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag5.txt 100_1x1.txt True 0.00980392156862745 0.08 7798784.0 [1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag5.txt 100_1x1.txt True 0.00980392156862745 0.08 7798784.0 [1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag5.txt 100_1x1.txt True 0.00980392156862745 0.1 7798784.0 [1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag5.txt 100_1x1.txt True 0.10784313725490197 0.12 3375104.0 [1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag5.txt 100_1x1.txt True 0.00980392156862745 0.1 7798784.0 [1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag5.txt 100_1x1.txt True 0.10784313725490197 0.12 3375104.0 [1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
